timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750365298585,194352,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-64,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365285984,206953,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-43,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365267986,224951,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-13,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365287785,205152,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-46,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365287184,205753,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-45,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365282984,209954,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-38,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365296784,196154,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-61,text,false,,2669,0,100,100,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365279984,212954,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-33,text,false,,2669,0,99,99,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365276985,215954,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-28,text,false,,2669,0,92,92,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365271584,221356,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-19,text,false,,2669,0,92,92,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365295583,197357,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-59,text,false,,2669,0,92,92,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,7
1750365284185,208755,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-40,text,false,,2669,0,92,92,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365299184,193756,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-65,text,false,,2669,0,92,92,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365279384,213556,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-32,text,false,,2669,0,92,92,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365277584,215357,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-29,text,false,,2669,0,89,89,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365314784,178157,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-91,text,false,,2669,0,89,89,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365290783,202159,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-51,text,false,,2669,0,85,85,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365272784,220158,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-21,text,false,,2669,0,84,84,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365261385,231557,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-2,text,false,,2669,0,83,83,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365281183,211760,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-35,text,false,,2669,0,81,81,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365264385,228558,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-7,text,false,,2669,0,81,81,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365302185,190758,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-70,text,false,,2669,0,81,81,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365266185,226758,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-10,text,false,,2669,0,81,81,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365264985,227958,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-8,text,false,,2669,0,81,81,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365308183,184760,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-80,text,false,,2669,0,81,81,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365311185,181758,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-85,text,false,,2669,0,80,80,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365290184,202760,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-50,text,false,,2669,0,79,79,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365302783,190161,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-71,text,false,,2669,0,73,73,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365293185,199760,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-55,text,false,,2669,0,72,72,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365309984,182961,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-83,text,false,,2669,0,72,72,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365317184,175762,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-95,text,false,,2669,0,72,72,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365260787,232159,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-1,text,false,,2669,0,72,72,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,3
1750365278785,214160,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-31,text,false,,2669,0,72,72,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365263185,229761,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-5,text,false,,2669,0,72,72,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365265585,227361,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-9,text,false,,2669,0,69,69,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365276384,216562,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-27,text,false,,2669,0,69,69,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365306984,185963,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-78,text,false,,2669,0,64,64,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365303984,188963,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-73,text,false,,2669,0,64,64,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365305183,187764,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-75,text,false,,2669,0,64,64,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365266785,226163,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-11,text,false,,2669,0,62,62,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365300385,192563,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-67,text,false,,2669,0,62,62,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365275784,217164,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-26,text,false,,2669,0,62,62,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365282385,210563,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-37,text,false,,2669,0,61,61,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365304584,188364,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-74,text,false,,2669,0,59,59,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365283584,209366,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-39,text,false,,2669,0,58,58,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365272185,220765,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-20,text,false,,2669,0,57,57,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365318385,174565,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-97,text,false,,2669,0,57,57,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365273384,219567,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-22,text,false,,2669,0,53,53,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365307585,185366,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-79,text,false,,2669,0,53,53,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365294984,197968,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-58,text,false,,2669,0,52,52,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365300984,191968,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-68,text,false,,2669,0,52,52,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365293784,199168,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-56,text,false,,2669,0,51,51,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365318983,173970,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-98,text,false,,2669,0,48,48,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365315985,176967,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-93,text,false,,2669,0,48,48,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365275185,217769,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-25,text,false,,2669,0,46,46,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365297984,194970,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-63,text,false,,2669,0,46,46,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365306383,186570,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-77,text,false,,2669,0,46,46,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365288385,204570,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-47,text,false,,2669,0,43,43,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365296185,196770,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-60,text,false,,2669,0,43,43,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365281784,211171,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-36,text,false,,2669,0,43,43,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365311784,181172,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-86,text,false,,2669,0,40,40,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365261985,230971,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-3,text,false,,2669,0,40,40,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365263786,229170,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-6,text,false,,2669,0,40,40,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365291385,201572,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-52,text,false,,2669,0,39,39,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365274585,218372,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-24,text,false,,2669,0,39,39,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365316585,176372,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-94,text,false,,2669,0,36,36,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365297384,195574,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-62,text,false,,2669,0,34,34,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365292584,200374,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-54,text,false,,2669,0,34,34,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365291984,200975,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-53,text,false,,2669,0,33,33,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365313583,179376,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-89,text,false,,2669,0,33,33,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
1750365267384,225575,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-12,text,false,,2669,0,32,32,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,0
1750365310584,182376,conf #3 req,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,conf #3 users 1-84,text,false,,2669,0,29,29,http://localhost:8083/?token=495382100&user=-2105052073&conf=3,0,0,1
